dataSource,dateOfReport,reportNo,pageRef,actionPlan,actionPlanName,actionPlanProgram,implementingAgency,agencyName,programName,programAcronym,programName2,assistanceType,asOfDate,targetBudget,expendedAmount,beneficiaryTargetTotal,beneficiaryTotal,beneficaryCategoryOrig,beneficiaryTypeOrig,region,province,cityMunicipality,dswd,lgu,ngos,others,grandTotal,notes,notes2,index,accounting,agency,agencyCode,aidCategory,aidCategoryCode,aidType,assistanceType,agencyAllocated,value,shareOfTotalBudget,date,beneficiaryTargetValue,beneficiaryValue,beneficiaryCategory,popOfBeneficiaryCategory,beneficiaryType,shareOfPop,link,infoText,saroAllotment
DSWD Dromic Reports,,,0,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DSWD,Department of Social Welfare and Development,Food and Non-Food Items Distribution Program,FNFI,,foood packs and others,,,,,,LGUs,LGUs,CARAGA,,,0,97817354.74,0,0,97817354.74,,,99,expenditure,DSWD,DSWD,social welfare,social,food packs and others,Food and Other Items,0,0,0,4/6/20,0,0,LGUs,1488,local governments,0.942876344,shopping-cart,"This assistance includes family food packs, ready-to-eat food, rice, sardines, coffee, hygiene kits, sleeping kits, family kits, pieces of malong, pieces of flexi mats, laminated sacks, and pieces of pillows.",0
DSWD Dromic Reports,,,0,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DSWD,Department of Social Welfare and Development,Food and Non-Food Items Distribution Program,FNFI,,foood packs and others,,,,,,LGUs,LGUs,MIMAROPA,,,0,128761745.7,0,0,128761745.7,,,100,expenditure,DSWD,DSWD,social welfare,social,food packs and others,Food and Other Items,0,0,0,4/6/20,0,0,LGUs,1488,local governments,0.942876344,shopping-cart,"This assistance includes family food packs, ready-to-eat food, rice, sardines, coffee, hygiene kits, sleeping kits, family kits, pieces of malong, pieces of flexi mats, laminated sacks, and pieces of pillows.",0
DSWD Dromic Reports,,,0,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DSWD,Department of Social Welfare and Development,Food and Non-Food Items Distribution Program,FNFI,,foood packs and others,,,,,,LGUs,LGUs,NCR,,,235005500,3721004524,17000000,0,3973010024,,,101,expenditure,DSWD,DSWD,social welfare,social,food packs and others,Food and Other Items,0,12944300,0,4/6/20,0,0,LGUs,1488,local governments,0.942876344,shopping-cart,"This assistance includes family food packs, ready-to-eat food, rice, sardines, coffee, hygiene kits, sleeping kits, family kits, pieces of malong, pieces of flexi mats, laminated sacks, and pieces of pillows.",0
DSWD Dromic Reports,,,0,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DSWD,Department of Social Welfare and Development,Food and Non-Food Items Distribution Program,FNFI,,foood packs and others,,,,,,LGUs,LGUs,REGION I,,,15839880,1226621951,738600.21,82676482.8,1325876914,,,102,expenditure,DSWD,DSWD,social welfare,social,food packs and others,Food and Other Items,0,5657100,0,4/6/20,0,0,LGUs,1488,local governments,0.942876344,shopping-cart,"This assistance includes family food packs, ready-to-eat food, rice, sardines, coffee, hygiene kits, sleeping kits, family kits, pieces of malong, pieces of flexi mats, laminated sacks, and pieces of pillows.",0
DSWD Dromic Reports,,,0,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DSWD,Department of Social Welfare and Development,Food and Non-Food Items Distribution Program,FNFI,,foood packs and others,,,,,,LGUs,LGUs,REGION II,,,2926745.08,632327757.1,0,0,635254502.2,,,103,expenditure,DSWD,DSWD,social welfare,social,food packs and others,Food and Other Items,0,522085.42,0,4/6/20,0,0,LGUs,1488,local governments,0.942876344,shopping-cart,"This assistance includes family food packs, ready-to-eat food, rice, sardines, coffee, hygiene kits, sleeping kits, family kits, pieces of malong, pieces of flexi mats, laminated sacks, and pieces of pillows.",0
DSWD Dromic Reports,,,0,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DSWD,Department of Social Welfare and Development,Food and Non-Food Items Distribution Program,FNFI,,foood packs and others,,,,,,LGUs,LGUs,REGION III,,,40055683.5,2292011112,0,0,2332066795,,,104,expenditure,DSWD,DSWD,social welfare,social,food packs and others,Food and Other Items,0,2336369.8,0,4/6/20,0,0,LGUs,1488,local governments,0.942876344,shopping-cart,"This assistance includes family food packs, ready-to-eat food, rice, sardines, coffee, hygiene kits, sleeping kits, family kits, pieces of malong, pieces of flexi mats, laminated sacks, and pieces of pillows.",0
DSWD Dromic Reports,,,0,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DSWD,Department of Social Welfare and Development,Food and Non-Food Items Distribution Program,FNFI,,foood packs and others,,,,,,LGUs,LGUs,REGION IX,,,0,5467000,0,0,5467000,,,105,expenditure,DSWD,DSWD,social welfare,social,food packs and others,Food and Other Items,0,0,0,4/6/20,0,0,LGUs,1488,local governments,0.942876344,shopping-cart,"This assistance includes family food packs, ready-to-eat food, rice, sardines, coffee, hygiene kits, sleeping kits, family kits, pieces of malong, pieces of flexi mats, laminated sacks, and pieces of pillows.",0
DSWD Dromic Reports,,,0,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DSWD,Department of Social Welfare and Development,Food and Non-Food Items Distribution Program,FNFI,,foood packs and others,,,,,,LGUs,LGUs,REGION V,,,71977673.97,1304940022,10877800,0,1387795496,,,106,expenditure,DSWD,DSWD,social welfare,social,food packs and others,Food and Other Items,0,4483593.71,0,4/6/20,0,0,LGUs,1488,local governments,0.942876344,shopping-cart,"This assistance includes family food packs, ready-to-eat food, rice, sardines, coffee, hygiene kits, sleeping kits, family kits, pieces of malong, pieces of flexi mats, laminated sacks, and pieces of pillows.",0
DSWD Dromic Reports,,,0,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DSWD,Department of Social Welfare and Development,Food and Non-Food Items Distribution Program,FNFI,,foood packs and others,,,,,,LGUs,LGUs,REGION VI,,,18586836,35701221.72,350000,0,54638057.72,,,107,expenditure,DSWD,DSWD,social welfare,social,food packs and others,Food and Other Items,0,3343320,0,4/6/20,0,0,LGUs,1488,local governments,0.942876344,shopping-cart,"This assistance includes family food packs, ready-to-eat food, rice, sardines, coffee, hygiene kits, sleeping kits, family kits, pieces of malong, pieces of flexi mats, laminated sacks, and pieces of pillows.",0
DSWD Dromic Reports,,,0,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DSWD,Department of Social Welfare and Development,Food and Non-Food Items Distribution Program,FNFI,,foood packs and others,,,,,,LGUs,LGUs,REGION VII,,,8732374,0,0,0,8732374,,,108,expenditure,DSWD,DSWD,social welfare,social,food packs and others,Food and Other Items,0,307776,0,4/6/20,0,0,LGUs,1488,local governments,0.942876344,shopping-cart,"This assistance includes family food packs, ready-to-eat food, rice, sardines, coffee, hygiene kits, sleeping kits, family kits, pieces of malong, pieces of flexi mats, laminated sacks, and pieces of pillows.",0
DSWD Dromic Reports,,,0,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DSWD,Department of Social Welfare and Development,Food and Non-Food Items Distribution Program,FNFI,,foood packs and others,,,,,,LGUs,LGUs,REGION VIII,,,0,577338574.2,0,8740256.37,586078830.6,,,109,expenditure,DSWD,DSWD,social welfare,social,food packs and others,Food and Other Items,0,0,0,4/6/20,0,0,LGUs,1488,local governments,0.942876344,shopping-cart,"This assistance includes family food packs, ready-to-eat food, rice, sardines, coffee, hygiene kits, sleeping kits, family kits, pieces of malong, pieces of flexi mats, laminated sacks, and pieces of pillows.",0
DSWD Dromic Reports,,,0,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DSWD,Department of Social Welfare and Development,Food and Non-Food Items Distribution Program,FNFI,,foood packs and others,,,,,,LGUs,LGUs,REGION X,,,87758.3,0,0,0,87758.3,,,110,expenditure,DSWD,DSWD,social welfare,social,food packs and others,Food and Other Items,0,12536.9,0,4/6/20,0,0,LGUs,1488,local governments,0.942876344,shopping-cart,"This assistance includes family food packs, ready-to-eat food, rice, sardines, coffee, hygiene kits, sleeping kits, family kits, pieces of malong, pieces of flexi mats, laminated sacks, and pieces of pillows.",0
DSWD Dromic Reports,,,0,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DSWD,Department of Social Welfare and Development,Food and Non-Food Items Distribution Program,FNFI,,foood packs and others,,,,,,LGUs,LGUs,REGION XI,,,84165602.17,197137131.4,0,0,281302733.6,,,111,expenditure,DSWD,DSWD,social welfare,social,food packs and others,Food and Other Items,0,14843263.76,0,4/6/20,0,0,LGUs,1488,local governments,0.942876344,shopping-cart,"This assistance includes family food packs, ready-to-eat food, rice, sardines, coffee, hygiene kits, sleeping kits, family kits, pieces of malong, pieces of flexi mats, laminated sacks, and pieces of pillows.",0
DSWD Dromic Reports,,,0,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DSWD,Department of Social Welfare and Development,Food and Non-Food Items Distribution Program,FNFI,,foood packs and others,,,,,,LGUs,LGUs,REGION XII,,,4996291,0,0,0,4996291,,,112,expenditure,DSWD,DSWD,social welfare,social,food packs and others,Food and Other Items,0,31800,0,4/6/20,0,0,LGUs,1488,local governments,0.942876344,shopping-cart,"This assistance includes family food packs, ready-to-eat food, rice, sardines, coffee, hygiene kits, sleeping kits, family kits, pieces of malong, pieces of flexi mats, laminated sacks, and pieces of pillows.",0
DSWD Dromic Reports,,,0,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DSWD,Department of Social Welfare and Development,Food and Non-Food Items Distribution Program,FNFI,,foood packs and others,,,,,,LGUs,LGUs,BARMM,,,1554000,0,0,0,1554000,,,113,expenditure,DSWD,DSWD,social welfare,social,food packs and others,Food and Other Items,0,0,0,4/13/20,0,0,LGUs,1488,local governments,0.942876344,shopping-cart,"This assistance includes family food packs, ready-to-eat food, rice, sardines, coffee, hygiene kits, sleeping kits, family kits, pieces of malong, pieces of flexi mats, laminated sacks, and pieces of pillows.",0
DSWD Dromic Reports,,,0,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DSWD,Department of Social Welfare and Development,Food and Non-Food Items Distribution Program,FNFI,,foood packs and others,,,,,,LGUs,LGUs,CALABARZON,,,87964440,10640437089,3066000,0,10731467529,,,114,expenditure,DSWD,DSWD,social welfare,social,food packs and others,Food and Other Items,0,2341200,0,4/13/20,0,0,LGUs,1488,local governments,0.942876344,shopping-cart,"This assistance includes family food packs, ready-to-eat food, rice, sardines, coffee, hygiene kits, sleeping kits, family kits, pieces of malong, pieces of flexi mats, laminated sacks, and pieces of pillows.",0
DSWD Dromic Reports,,,0,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DSWD,Department of Social Welfare and Development,Food and Non-Food Items Distribution Program,FNFI,,foood packs and others,,,,,,LGUs,LGUs,CAR,,,31265693.58,572077892,1712680.9,37491809.9,656742072.5,,,115,expenditure,DSWD,DSWD,social welfare,social,food packs and others,Food and Other Items,0,4316941.23,0,4/13/20,0,0,LGUs,1488,local governments,0.942876344,shopping-cart,"This assistance includes family food packs, ready-to-eat food, rice, sardines, coffee, hygiene kits, sleeping kits, family kits, pieces of malong, pieces of flexi mats, laminated sacks, and pieces of pillows.",0
DSWD Dromic Reports,,,0,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DSWD,Department of Social Welfare and Development,Food and Non-Food Items Distribution Program,FNFI,,foood packs and others,,,,,,LGUs,LGUs,CARAGA,,,0,177386264.2,0,0,177386264.2,,,116,expenditure,DSWD,DSWD,social welfare,social,food packs and others,Food and Other Items,0,0,0,4/13/20,0,0,LGUs,1488,local governments,0.942876344,shopping-cart,"This assistance includes family food packs, ready-to-eat food, rice, sardines, coffee, hygiene kits, sleeping kits, family kits, pieces of malong, pieces of flexi mats, laminated sacks, and pieces of pillows.",0
DSWD Dromic Reports,,,0,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DSWD,Department of Social Welfare and Development,Food and Non-Food Items Distribution Program,FNFI,,foood packs and others,,,,,,LGUs,LGUs,MIMAROPA,,,0,143626899.9,0,0,143626899.9,,,117,expenditure,DSWD,DSWD,social welfare,social,food packs and others,Food and Other Items,0,0,0,4/13/20,0,0,LGUs,1488,local governments,0.942876344,shopping-cart,"This assistance includes family food packs, ready-to-eat food, rice, sardines, coffee, hygiene kits, sleeping kits, family kits, pieces of malong, pieces of flexi mats, laminated sacks, and pieces of pillows.",0
DSWD Dromic Reports,,,0,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DSWD,Department of Social Welfare and Development,Food and Non-Food Items Distribution Program,FNFI,,foood packs and others,,,,,,LGUs,LGUs,NCR,,,350972340,6685157523,128800000,0,7164929865,,,118,expenditure,DSWD,DSWD,social welfare,social,food packs and others,Food and Other Items,0,12585320,0,4/13/20,0,0,LGUs,1488,local governments,0.942876344,shopping-cart,"This assistance includes family food packs, ready-to-eat food, rice, sardines, coffee, hygiene kits, sleeping kits, family kits, pieces of malong, pieces of flexi mats, laminated sacks, and pieces of pillows.",0
DSWD Dromic Reports,,,0,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DSWD,Department of Social Welfare and Development,Food and Non-Food Items Distribution Program,FNFI,,foood packs and others,,,,,,LGUs,LGUs,REGION I,,,77991900.4,2133359660,1778175.21,100552283.5,2313682019,,,119,expenditure,DSWD,DSWD,social welfare,social,food packs and others,Food and Other Items,0,7511977.2,0,4/13/20,0,0,LGUs,1488,local governments,0.942876344,shopping-cart,"This assistance includes family food packs, ready-to-eat food, rice, sardines, coffee, hygiene kits, sleeping kits, family kits, pieces of malong, pieces of flexi mats, laminated sacks, and pieces of pillows.",0
DSWD Dromic Reports,,,0,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DSWD,Department of Social Welfare and Development,Food and Non-Food Items Distribution Program,FNFI,,foood packs and others,,,,,,LGUs,LGUs,REGION II,,,4358630.5,1145214190,0,0,1149572820,,,120,expenditure,DSWD,DSWD,social welfare,social,food packs and others,Food and Other Items,0,0,0,4/13/20,0,0,LGUs,1488,local governments,0.942876344,shopping-cart,"This assistance includes family food packs, ready-to-eat food, rice, sardines, coffee, hygiene kits, sleeping kits, family kits, pieces of malong, pieces of flexi mats, laminated sacks, and pieces of pillows.",0
DSWD Dromic Reports,,,0,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DSWD,Department of Social Welfare and Development,Food and Non-Food Items Distribution Program,FNFI,,foood packs and others,,,,,,LGUs,LGUs,REGION III,,,47983035.1,3383640550,0,0,3431623585,,,121,expenditure,DSWD,DSWD,social welfare,social,food packs and others,Food and Other Items,0,0,0,4/13/20,0,0,LGUs,1488,local governments,0.942876344,shopping-cart,"This assistance includes family food packs, ready-to-eat food, rice, sardines, coffee, hygiene kits, sleeping kits, family kits, pieces of malong, pieces of flexi mats, laminated sacks, and pieces of pillows.",0
DSWD Dromic Reports,,,0,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DSWD,Department of Social Welfare and Development,Food and Non-Food Items Distribution Program,FNFI,,foood packs and others,,,,,,LGUs,LGUs,REGION IX,,,19917040,5467000,0,0,25384040,,,122,expenditure,DSWD,DSWD,social welfare,social,food packs and others,Food and Other Items,0,3867520,0,4/13/20,0,0,LGUs,1488,local governments,0.942876344,shopping-cart,"This assistance includes family food packs, ready-to-eat food, rice, sardines, coffee, hygiene kits, sleeping kits, family kits, pieces of malong, pieces of flexi mats, laminated sacks, and pieces of pillows.",0
DSWD Dromic Reports,,,0,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DSWD,Department of Social Welfare and Development,Food and Non-Food Items Distribution Program,FNFI,,foood packs and others,,,,,,LGUs,LGUs,REGION V,,,99458960.74,1591492296,19816800,0,1710768056,,,123,expenditure,DSWD,DSWD,social welfare,social,food packs and others,Food and Other Items,0,2338704.77,0,4/13/20,0,0,LGUs,1488,local governments,0.942876344,shopping-cart,"This assistance includes family food packs, ready-to-eat food, rice, sardines, coffee, hygiene kits, sleeping kits, family kits, pieces of malong, pieces of flexi mats, laminated sacks, and pieces of pillows.",0
DSWD Dromic Reports,,,0,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DSWD,Department of Social Welfare and Development,Food and Non-Food Items Distribution Program,FNFI,,foood packs and others,,,,,,LGUs,LGUs,REGION VI,,,29755476,39297075.51,350000,0,69402551.51,,,124,expenditure,DSWD,DSWD,social welfare,social,food packs and others,Food and Other Items,0,540000,0,4/13/20,0,0,LGUs,1488,local governments,0.942876344,shopping-cart,"This assistance includes family food packs, ready-to-eat food, rice, sardines, coffee, hygiene kits, sleeping kits, family kits, pieces of malong, pieces of flexi mats, laminated sacks, and pieces of pillows.",0
DSWD Dromic Reports,,,0,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DSWD,Department of Social Welfare and Development,Food and Non-Food Items Distribution Program,FNFI,,foood packs and others,,,,,,LGUs,LGUs,REGION VII,,,9655702,0,0,0,9655702,,,125,expenditure,DSWD,DSWD,social welfare,social,food packs and others,Food and Other Items,0,0,0,4/13/20,0,0,LGUs,1488,local governments,0.942876344,shopping-cart,"This assistance includes family food packs, ready-to-eat food, rice, sardines, coffee, hygiene kits, sleeping kits, family kits, pieces of malong, pieces of flexi mats, laminated sacks, and pieces of pillows.",0
DSWD Dromic Reports,,,0,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DSWD,Department of Social Welfare and Development,Food and Non-Food Items Distribution Program,FNFI,,foood packs and others,,,,,,LGUs,LGUs,REGION VIII,,,0,926078353.7,0,12738390,938816743.7,,,126,expenditure,DSWD,DSWD,social welfare,social,food packs and others,Food and Other Items,0,0,0,4/13/20,0,0,LGUs,1488,local governments,0.942876344,shopping-cart,"This assistance includes family food packs, ready-to-eat food, rice, sardines, coffee, hygiene kits, sleeping kits, family kits, pieces of malong, pieces of flexi mats, laminated sacks, and pieces of pillows.",0
DSWD Dromic Reports,,,0,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DSWD,Department of Social Welfare and Development,Food and Non-Food Items Distribution Program,FNFI,,foood packs and others,,,,,,LGUs,LGUs,REGION X,,,87758.3,0,0,0,87758.3,,,127,expenditure,DSWD,DSWD,social welfare,social,food packs and others,Food and Other Items,0,0,0,4/13/20,0,0,LGUs,1488,local governments,0.942876344,shopping-cart,"This assistance includes family food packs, ready-to-eat food, rice, sardines, coffee, hygiene kits, sleeping kits, family kits, pieces of malong, pieces of flexi mats, laminated sacks, and pieces of pillows.",0
DSWD Dromic Reports,,,0,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DSWD,Department of Social Welfare and Development,Food and Non-Food Items Distribution Program,FNFI,,foood packs and others,,,,,,LGUs,LGUs,REGION XI,,,177481009.4,332379772.5,0,0,509860781.9,,,128,expenditure,DSWD,DSWD,social welfare,social,food packs and others,Food and Other Items,0,9297254.72,0,4/13/20,0,0,LGUs,1488,local governments,0.942876344,shopping-cart,"This assistance includes family food packs, ready-to-eat food, rice, sardines, coffee, hygiene kits, sleeping kits, family kits, pieces of malong, pieces of flexi mats, laminated sacks, and pieces of pillows.",0
DSWD Dromic Reports,,,0,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DSWD,Department of Social Welfare and Development,Food and Non-Food Items Distribution Program,FNFI,,foood packs and others,,,,,,LGUs,LGUs,REGION XII,,,21460491,0,0,0,21460491,,,129,expenditure,DSWD,DSWD,social welfare,social,food packs and others,Food and Other Items,0,2578900,0,4/13/20,0,0,LGUs,1488,local governments,0.942876344,shopping-cart,"This assistance includes family food packs, ready-to-eat food, rice, sardines, coffee, hygiene kits, sleeping kits, family kits, pieces of malong, pieces of flexi mats, laminated sacks, and pieces of pillows.",0
DSWD Dromic Reports,,,0,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DSWD,Department of Social Welfare and Development,Food and Non-Food Items Distribution Program,FNFI,,foood packs and others,,,,,,LGUs,LGUs,BARMM,,,1554000,0,0,0,1554000,,,130,expenditure,DSWD,DSWD,social welfare,social,food packs and others,Food and Other Items,0,0,0,4/20/20,0,0,LGUs,1488,local governments,0.942876344,shopping-cart,"This assistance includes family food packs, ready-to-eat food, rice, sardines, coffee, hygiene kits, sleeping kits, family kits, pieces of malong, pieces of flexi mats, laminated sacks, and pieces of pillows.",0
DSWD Dromic Reports,,,0,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DSWD,Department of Social Welfare and Development,Food and Non-Food Items Distribution Program,FNFI,,foood packs and others,,,,,,LGUs,LGUs,CALABARZON,,,92680380,18246034141,52262308.8,0,18390976831,,,131,expenditure,DSWD,DSWD,social welfare,social,food packs and others,Food and Other Items,0,44880,0,4/20/20,0,0,LGUs,1488,local governments,0.942876344,shopping-cart,"This assistance includes family food packs, ready-to-eat food, rice, sardines, coffee, hygiene kits, sleeping kits, family kits, pieces of malong, pieces of flexi mats, laminated sacks, and pieces of pillows.",0
DSWD Dromic Reports,,,0,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DSWD,Department of Social Welfare and Development,Food and Non-Food Items Distribution Program,FNFI,,foood packs and others,,,,,,LGUs,LGUs,CAR,,,55922674.81,844483140,2424869.86,31950647.7,934781332.5,,,132,expenditure,DSWD,DSWD,social welfare,social,food packs and others,Food and Other Items,0,4411394.01,0,4/20/20,0,0,LGUs,1488,local governments,0.942876344,shopping-cart,"This assistance includes family food packs, ready-to-eat food, rice, sardines, coffee, hygiene kits, sleeping kits, family kits, pieces of malong, pieces of flexi mats, laminated sacks, and pieces of pillows.",0
DSWD Dromic Reports,,,0,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DSWD,Department of Social Welfare and Development,Food and Non-Food Items Distribution Program,FNFI,,foood packs and others,,,,,,LGUs,LGUs,CARAGA,,,0,676174531,0,0,676174531,,,133,expenditure,DSWD,DSWD,social welfare,social,food packs and others,Food and Other Items,0,0,0,4/20/20,0,0,LGUs,1488,local governments,0.942876344,shopping-cart,"This assistance includes family food packs, ready-to-eat food, rice, sardines, coffee, hygiene kits, sleeping kits, family kits, pieces of malong, pieces of flexi mats, laminated sacks, and pieces of pillows.",0
DSWD Dromic Reports,,,0,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DSWD,Department of Social Welfare and Development,Food and Non-Food Items Distribution Program,FNFI,,foood packs and others,,,,,,LGUs,LGUs,MIMAROPA,,,3096900,170651899.9,0,0,173748799.9,,,134,expenditure,DSWD,DSWD,social welfare,social,food packs and others,Food and Other Items,0,1548450,0,4/20/20,0,0,LGUs,1488,local governments,0.942876344,shopping-cart,"This assistance includes family food packs, ready-to-eat food, rice, sardines, coffee, hygiene kits, sleeping kits, family kits, pieces of malong, pieces of flexi mats, laminated sacks, and pieces of pillows.",0
DSWD Dromic Reports,,,0,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DSWD,Department of Social Welfare and Development,Food and Non-Food Items Distribution Program,FNFI,,foood packs and others,,,,,,LGUs,LGUs,NCR,,,368054840,8111336077,392045000,0,8871435917,,,135,expenditure,DSWD,DSWD,social welfare,social,food packs and others,Food and Other Items,0,2031500,0,4/20/20,0,0,LGUs,1488,local governments,0.942876344,shopping-cart,"This assistance includes family food packs, ready-to-eat food, rice, sardines, coffee, hygiene kits, sleeping kits, family kits, pieces of malong, pieces of flexi mats, laminated sacks, and pieces of pillows.",0
DSWD Dromic Reports,,,0,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DSWD,Department of Social Welfare and Development,Food and Non-Food Items Distribution Program,FNFI,,foood packs and others,,,,,,LGUs,LGUs,REGION I,,,97101446,2618885754,1934720.21,138898620.7,2856820541,,,136,expenditure,DSWD,DSWD,social welfare,social,food packs and others,Food and Other Items,0,384682.8,0,4/20/20,0,0,LGUs,1488,local governments,0.942876344,shopping-cart,"This assistance includes family food packs, ready-to-eat food, rice, sardines, coffee, hygiene kits, sleeping kits, family kits, pieces of malong, pieces of flexi mats, laminated sacks, and pieces of pillows.",0
DSWD Dromic Reports,,,0,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DSWD,Department of Social Welfare and Development,Food and Non-Food Items Distribution Program,FNFI,,foood packs and others,,,,,,LGUs,LGUs,REGION II,,,22094227.46,2174939804,0,0,2197034031,,,137,expenditure,DSWD,DSWD,social welfare,social,food packs and others,Food and Other Items,0,2705660.56,0,4/20/20,0,0,LGUs,1488,local governments,0.942876344,shopping-cart,"This assistance includes family food packs, ready-to-eat food, rice, sardines, coffee, hygiene kits, sleeping kits, family kits, pieces of malong, pieces of flexi mats, laminated sacks, and pieces of pillows.",0
DSWD Dromic Reports,,,0,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DSWD,Department of Social Welfare and Development,Food and Non-Food Items Distribution Program,FNFI,,foood packs and others,,,,,,LGUs,LGUs,REGION III,,,50284339.1,4443165575,0,0,4493449914,,,138,expenditure,DSWD,DSWD,social welfare,social,food packs and others,Food and Other Items,0,593952,0,4/20/20,0,0,LGUs,1488,local governments,0.942876344,shopping-cart,"This assistance includes family food packs, ready-to-eat food, rice, sardines, coffee, hygiene kits, sleeping kits, family kits, pieces of malong, pieces of flexi mats, laminated sacks, and pieces of pillows.",0
DSWD Dromic Reports,,,0,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DSWD,Department of Social Welfare and Development,Food and Non-Food Items Distribution Program,FNFI,,foood packs and others,,,,,,LGUs,LGUs,REGION IX,,,65846400,5467000,0,0,71313400,,,139,expenditure,DSWD,DSWD,social welfare,social,food packs and others,Food and Other Items,0,8676440,0,4/20/20,0,0,LGUs,1488,local governments,0.942876344,shopping-cart,"This assistance includes family food packs, ready-to-eat food, rice, sardines, coffee, hygiene kits, sleeping kits, family kits, pieces of malong, pieces of flexi mats, laminated sacks, and pieces of pillows.",0
DSWD Dromic Reports,,,0,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DSWD,Department of Social Welfare and Development,Food and Non-Food Items Distribution Program,FNFI,,foood packs and others,,,,,,LGUs,LGUs,REGION V,,,92278107.4,1474901437,18104300,0,1585283844,,,140,expenditure,DSWD,DSWD,social welfare,social,food packs and others,Food and Other Items,0,935217.67,0,4/20/20,0,0,LGUs,1488,local governments,0.942876344,shopping-cart,"This assistance includes family food packs, ready-to-eat food, rice, sardines, coffee, hygiene kits, sleeping kits, family kits, pieces of malong, pieces of flexi mats, laminated sacks, and pieces of pillows.",0
DSWD Dromic Reports,,,0,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DSWD,Department of Social Welfare and Development,Food and Non-Food Items Distribution Program,FNFI,,foood packs and others,,,,,,LGUs,LGUs,REGION VI,,,39468996,73705807.3,350000,0,113524803.3,,,141,expenditure,DSWD,DSWD,social welfare,social,food packs and others,Food and Other Items,0,3704400,0,4/20/20,0,0,LGUs,1488,local governments,0.942876344,shopping-cart,"This assistance includes family food packs, ready-to-eat food, rice, sardines, coffee, hygiene kits, sleeping kits, family kits, pieces of malong, pieces of flexi mats, laminated sacks, and pieces of pillows.",0
DSWD Dromic Reports,,,0,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DSWD,Department of Social Welfare and Development,Food and Non-Food Items Distribution Program,FNFI,,foood packs and others,,,,,,LGUs,LGUs,REGION VII,,,23199624.45,0,0,0,23199624.45,,,142,expenditure,DSWD,DSWD,social welfare,social,food packs and others,Food and Other Items,0,2922578.47,0,4/20/20,0,0,LGUs,1488,local governments,0.942876344,shopping-cart,"This assistance includes family food packs, ready-to-eat food, rice, sardines, coffee, hygiene kits, sleeping kits, family kits, pieces of malong, pieces of flexi mats, laminated sacks, and pieces of pillows.",0
